cause,effect,cause_topic,effect_topic,paper_name,source_id,conf_topic,path_to_cause,path_to_effect,to_cause_sources,to_effect_sources,to_cause_len,to_effect_len,conf_papers,within_same_paper
it reduces home production and leisure (combined) by 2.0 hours over the workweek,Unmarried mothers spend 2.3 fewer hours with children during the workweek with little impact on investment time,topic_300,topic_528,The Earned Income Tax Credit and Maternal Time Use: More Time Working and Less Time with Kids?,71737,topic_467,"
EITC expansions --> increase labor supply and reduce home production plus leisure and time spent with children","
EITC expansions --> effects on the investment time of highly engaged mothers are negligible",[71788],[71665],1,1,['The Earned Income Tax Credit and Maternal Time Use: More Time Working and Less Time with Kids?'],TRUE
the continuing decline in unionization after the late 1980s,some of the continuing growth in inequality,topic_2220,topic_4091,Labor Market Institutions and the Distribution of Wages: The Role of Spillover Effects,60981,topic_290,"
the unionization rate declines --> the impact of unions on the wage distribution coming largely from a decline in the unions’ threat effect","
the unionization rate declines --> the impact of unions on the wage distribution
the effects of unions --> rising inequality",[61500],"[61499, 54425]",1,2,"['Labor Market Institutions and the Distribution of Wages: The Role of Spillover Effects', 'The Surprising Impacts of Unionization: Evidence from Matched Employer-Employee Data']",FALSE
declining unionization,the increase in the Gini coefficient between 1979 and 2017,topic_2220,topic_2026,Labor Market Institutions and the Distribution of Wages: The Role of Spillover Effects,61501,topic_3673,"
union threat effects --> a decline in union coverage and wages in the nonunion sector","
spillover effects accounting for about half of the union effect --> Over the entire 1979–2017 period",[61149],[61501],1,1,['Labor Market Institutions and the Distribution of Wages: The Role of Spillover Effects'],TRUE
the decline in unionization,accounts for a large share of the increase in the 90–50 gap,topic_2220,topic_2522,Labor Market Institutions and the Distribution of Wages: The Role of Spillover Effects,61488,topic_3673,"
union threat effects --> a decline in union coverage and wages in the nonunion sector","
accounting for union spillovers --> doubles the share of the increase in the 90–50 wage gap explained by unions",[61149],[61490],1,1,['Labor Market Institutions and the Distribution of Wages: The Role of Spillover Effects'],TRUE
the decline in unionization,a large share of the increase in the 90–50 gap,topic_2220,topic_2522,Labor Market Institutions and the Distribution of Wages: The Role of Spillover Effects,61489,topic_3673,"
union threat effects --> a decline in union coverage and wages in the nonunion sector","
accounting for union spillovers --> doubles the share of the increase in the 90–50 wage gap explained by unions",[61149],[61490],1,1,['Labor Market Institutions and the Distribution of Wages: The Role of Spillover Effects'],TRUE
"a county with 10,000 working-age residents",5.2 layoffs in low-skilled occupations,topic_574,topic_4282,Community College Program Choices in the Wake of Local Job Losses,52000,topic_108,"
minimum wage changes --> around 10% of low-skilled workers","
minimum wage changes --> low-skilled wages, employment, and migration",[10435],[10581],1,1,['Minimum Wages and Spatial Equilibrium: Theory and Evidence'],FALSE
the low graduation rate,marginal students have a hard time translating a university SGL into labor market returns,topic_991,topic_934,Labor Market Returns to Student Loans for University: Evidence from Chile,38336,topic_4188,"
opening a satellite campus of a flagship research university --> high-achieving low-income students the most","
On-campus recruiting --> may differentially benefit students who would not otherwise have access to high-wage jobs",[17422],[1490],1,1,"['Quantifying Family, School, and Location Effects in the Presence of Complementarities and Sorting', 'Blame the Parents? How Parental Unemployment Affects Labor Supply and Job Quality for Young Adults']",FALSE
job mobility,a channel of response to the match-level risk facing employed workers,topic_5308,topic_1609,Wage Risk and the Value of Job Mobility in Early Employment Careers,3435,topic_5622,"
match-specific permanent wages or permanent wage growth --> job mobility","
it depends on both match- and individual-level wages --> The value of job mobility as a channel against negative match-level shocks",[3686],[3930],1,1,['Wage Risk and the Value of Job Mobility in Early Employment Careers'],TRUE
job mobility,an important channel to react against negative wage shocks,topic_5308,topic_1609,Wage Risk and the Value of Job Mobility in Early Employment Careers,3457,topic_5622,"
match-specific permanent wages or permanent wage growth --> job mobility","
it depends on both match- and individual-level wages --> The value of job mobility as a channel against negative match-level shocks",[3686],[3930],1,1,['Wage Risk and the Value of Job Mobility in Early Employment Careers'],TRUE
the characteristics of immigrants and natives who have died are similar,"for immigrants not seen since the early 2000s, the vast majority likely left the United States",topic_1895,topic_1439,Immigrant Earnings Assimilation in the United States: A Panel Analysis,43696,topic_2605,"
some Haitian immigrants in the spring of 2010 may not actually have been refugees (even if the state calls them refugees) --> they are probably a small portion of the immigrants","
Haitian earthquake migrants fit the general definition of a “refugee” in the sense that they fled their country due to an imminent threat to their lives --> these migrants in general did not enter the United States as refugees from a legal standpoint",[16228],[16188],1,1,['Unwelcome Guests? The Effects of Refugees on the Educational Outcomes of Incumbent Students'],FALSE
Exposure to news about fracking,an average annual increase of approximately one to two additional migrants and four additional commuters to the fracking destination from each origin,topic_124,topic_55,Moving to Jobs: The Role of Information in Migration Decisions,52624,topic_2454,"
news coverage --> people to seek more information about the potential fracking destination","
news exposure --> significantly increases the number of migrants per person as well",[53171],[52952],1,1,['Moving to Jobs: The Role of Information in Migration Decisions'],TRUE
